Date,Dish Name,Quantity Sold,Price per Dish (INR),Total Sales (INR),Ingredients,Feedback
01-03-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Not good
03/01/2021,Pani Puri,,10,,"Flour, Water, Spices",Too spicy
01-03-2021,biryani,47.0,120,5640.0,"Rice, Meat, Spices",Average
2021-01-03,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
2021-01-03,pav bhaji,,45,,"Potatoes, Vegetables, Bread",
2021-01-03,Samosa,97.0,15,1455.0,"Potato, Peas, Spices",
01-03-2021,Lassi,,30,,"Yogurt, Sugar, Water",Very tasty
01-03-2021,Chaat,,30,,"Pani, Sev, Spices",
01-03-2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Not good
03/01/2021,Vadd Pav,,22,,"Potato, Bread, Spices",
03/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
2021-01-03,Pav Bhaji,53.0,45,2385.0,"Potatoes, Vegetables, Bread",Not good
2021-01-04,Masala Dosa,88.0,40,3520.0,"Rice, Lentils, Spices",Too spicy
2021-01-04,Vada Pav,30.0,25,750.0,"Potato, Bread, Spices",Not good
2021-01-04,sandwich,85.0,20,1700.0,"Bread, Cheese, Vegetables",
01-04-2021,Pani Puri,,10,,"Flour, Water, Spices",Very tasty
2021-01-04,Biryani,93.0,120,11160.0,"Rice, Meat, Spices",
2021-01-04,Chole Bhature,66.0,50,3300.0,"Chickpeas, Flour, Spices",Too spicy
01-04-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
01-04-2021,Samosa,42.0,15,630.0,"Potato, Peas, Spices",Not good
04/01/2021,Lassi,,30,,"Yogurt, Sugar, Water",Too spicy
2021-01-04,Chaat,58.0,30,1740.0,"Pani, Sev, Spices",Too spicy
04/01/2021,Maaasala Dosa,33.0,35,1155.0,"Rice, Lentils, Spices",Average
04/01/2021,Vadd Pav,38.0,22,836.0,"Potato, Bread, Spices",Not good
04/01/2021,Chole Bhture,71.0,55,3905.0,"Chickpeas, Flour, Spices",Too spicy
04/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
05/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
05/01/2021,Vada Pav,88.0,25,2200.0,"Potato, Bread, Spices",
2021-01-05,Sandwich,,20,,"Bread, Cheese, Vegetables",Too spicy
01-05-2021,Pani Puri,5.0,10,50.0,"Flour, Water, Spices",Very tasty
2021-01-05,biryani,63.0,120,7560.0,"Rice, Meat, Spices",Very tasty
01-05-2021,Chole Bhature,17.0,50,850.0,"Chickpeas, Flour, Spices",
2021-01-05,Pav Bhaji,29.0,45,1305.0,"Potatoes, Vegetables, Bread",Very tasty
05/01/2021,Samosa,,15,,"Potato, Peas, Spices",Too spicy
2021-01-05,lassi,,30,,"Yogurt, Sugar, Water",Average
2021-01-05,Chaat,11.0,30,330.0,"Pani, Sev, Spices",Average
05/01/2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
2021-01-05,Vadd Pav,,22,,"Potato, Bread, Spices",Average
01-05-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Not good
01-05-2021,Pav Bhaji,87.0,45,3915.0,"Potatoes, Vegetables, Bread",Too spicy
06/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
01-06-2021,Vada Pav,,25,,"Potato, Bread, Spices",Very tasty
01-06-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Not good
06/01/2021,Pani Puri,76.0,10,760.0,"Flour, Water, Spices",
2021-01-06,Biryani,,120,,"Rice, Meat, Spices",
01-06-2021,Chole Bhature,47.0,50,2350.0,"Chickpeas, Flour, Spices",Average
2021-01-06,pav bhaji,,45,,"Potatoes, Vegetables, Bread",Average
06/01/2021,Samosa,95.0,15,1425.0,"Potato, Peas, Spices",Very tasty
2021-01-06,LASSI,,30,,"Yogurt, Sugar, Water",Very tasty
01-06-2021,Chaat,6.0,30,180.0,"Pani, Sev, Spices",Not good
06/01/2021,Maaasala Dosa,65.0,35,2275.0,"Rice, Lentils, Spices",Too spicy
2021-01-06,Vadd Pav,96.0,22,2112.0,"Potato, Bread, Spices",Average
01-06-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",
01-06-2021,Pav Bhaji,77.0,45,3465.0,"Potatoes, Vegetables, Bread",
01-07-2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
2021-01-07,Vada Pav,11.0,25,275.0,"Potato, Bread, Spices",Average
07/01/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Too spicy
01-07-2021,Pani Puri,27.0,10,270.0,"Flour, Water, Spices",Average
2021-01-07,Biryani,54.0,120,6480.0,"Rice, Meat, Spices",Very tasty
2021-01-07,Chole Bhature,30.0,50,1500.0,"Chickpeas, Flour, Spices",
07/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
2021-01-07,Samosa,,15,,"Potato, Peas, Spices",Average
01-07-2021,Lassi,62.0,30,1860.0,"Yogurt, Sugar, Water",Average
07/01/2021,Chaat,,30,,"Pani, Sev, Spices",
2021-01-07,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Too spicy
2021-01-07,Vadd Pav,30.0,22,660.0,"Potato, Bread, Spices",Too spicy
07/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",
01-07-2021,PAV BHAJI,,45,,"Potatoes, Vegetables, Bread",Not good
2021-01-08,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
08/01/2021,Vada Pav,22.0,25,550.0,"Potato, Bread, Spices",Too spicy
08/01/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",
2021-01-08,Pani Puri,95.0,10,950.0,"Flour, Water, Spices",Average
01-08-2021,Biryani,36.0,120,4320.0,"Rice, Meat, Spices",Average
08/01/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Very tasty
08/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
08/01/2021,Samosa,,15,,"Potato, Peas, Spices",Too spicy
2021-01-08,Lassi,,30,,"Yogurt, Sugar, Water",Very tasty
08/01/2021,Chaat,7.0,30,210.0,"Pani, Sev, Spices",Too spicy
01-08-2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
01-08-2021,Vadd Pav,,22,,"Potato, Bread, Spices",
08/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
08/01/2021,Pav Bhaji,74.0,45,3330.0,"Potatoes, Vegetables, Bread",
09/01/2021,MASALA DOSA,,40,,"Rice, Lentils, Spices",Average
01-09-2021,Vada Pav,92.0,25,2300.0,"Potato, Bread, Spices",
09/01/2021,SANDWICH,,20,,"Bread, Cheese, Vegetables",Average
2021-01-09,Pani Puri,,10,,"Flour, Water, Spices",Not good
2021-01-09,Biryani,,120,,"Rice, Meat, Spices",Average
2021-01-09,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
09/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
09/01/2021,Samosa,,15,,"Potato, Peas, Spices",Too spicy
09/01/2021,Lassi,,30,,"Yogurt, Sugar, Water",Not good
09/01/2021,Chaat,,30,,"Pani, Sev, Spices",Very tasty
09/01/2021,Maaasala Dosa,89.0,35,3115.0,"Rice, Lentils, Spices",
09/01/2021,Vadd Pav,19.0,22,418.0,"Potato, Bread, Spices",Too spicy
01-09-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
2021-01-09,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
2021-01-10,Masala Dosa,18.0,40,720.0,"Rice, Lentils, Spices",Not good
2021-01-10,Vada Pav,,25,,"Potato, Bread, Spices",Not good
01-10-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",
01-10-2021,Pani Puri,,10,,"Flour, Water, Spices",Very tasty
2021-01-10,Biryani,85.0,120,10200.0,"Rice, Meat, Spices",Average
10/01/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Average
2021-01-10,Pav Bhaji,68.0,45,3060.0,"Potatoes, Vegetables, Bread",Too spicy
10/01/2021,Samosa,,15,,"Potato, Peas, Spices",Very tasty
2021-01-10,Lassi,57.0,30,1710.0,"Yogurt, Sugar, Water",Too spicy
2021-01-10,Chaat,,30,,"Pani, Sev, Spices",Very tasty
2021-01-10,Maaasala Dosa,53.0,35,1855.0,"Rice, Lentils, Spices",Too spicy
01-10-2021,Vadd Pav,,22,,"Potato, Bread, Spices",
10/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
01-10-2021,Pav Bhaji,18.0,45,810.0,"Potatoes, Vegetables, Bread",Too spicy
2021-01-11,Masala Dosa,,40,,"Rice, Lentils, Spices",Not good
11/01/2021,Vada Pav,,25,,"Potato, Bread, Spices",Not good
2021-01-11,Sandwich,,20,,"Bread, Cheese, Vegetables",Too spicy
11/01/2021,Pani Puri,,10,,"Flour, Water, Spices",
11/01/2021,Biryani,,120,,"Rice, Meat, Spices",Not good
11/01/2021,Chole Bhature,71.0,50,3550.0,"Chickpeas, Flour, Spices",Average
11/01/2021,Pav Bhaji,72.0,45,3240.0,"Potatoes, Vegetables, Bread",Too spicy
01-11-2021,Samosa,,15,,"Potato, Peas, Spices",Not good
11/01/2021,Lassi,,30,,"Yogurt, Sugar, Water",
11/01/2021,Chaat,,30,,"Pani, Sev, Spices",Very tasty
01-11-2021,MAAASALA DOSA,49.0,35,1715.0,"Rice, Lentils, Spices",Very tasty
01-11-2021,Vadd Pav,41.0,22,902.0,"Potato, Bread, Spices",Not good
01-11-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Not good
01-11-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
12/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Too spicy
12/01/2021,Vada Pav,73.0,25,1825.0,"Potato, Bread, Spices",Very tasty
2021-01-12,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
12/01/2021,Pani Puri,,10,,"Flour, Water, Spices",Not good
2021-01-12,Biryani,55.0,120,6600.0,"Rice, Meat, Spices",
2021-01-12,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
01-12-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
2021-01-12,Samosa,,15,,"Potato, Peas, Spices",Very tasty
2021-01-12,Lassi,,30,,"Yogurt, Sugar, Water",Very tasty
2021-01-12,Chaat,,30,,"Pani, Sev, Spices",
2021-01-12,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Not good
01-12-2021,Vadd Pav,98.0,22,2156.0,"Potato, Bread, Spices",Not good
01-12-2021,chole bhture,35.0,55,1925.0,"Chickpeas, Flour, Spices",Too spicy
12/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
01-13-2021,Masala Dosa,86.0,40,3440.0,"Rice, Lentils, Spices",Too spicy
2021-01-13,Vada Pav,9.0,25,225.0,"Potato, Bread, Spices",Very tasty
13/01/2021,Sandwich,15.0,20,300.0,"Bread, Cheese, Vegetables",Too spicy
01-13-2021,Pani Puri,,10,,"Flour, Water, Spices",Average
13/01/2021,Biryani,82.0,120,9840.0,"Rice, Meat, Spices",Very tasty
01-13-2021,Chole Bhature,8.0,50,400.0,"Chickpeas, Flour, Spices",Too spicy
2021-01-13,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
01-13-2021,Samosa,65.0,15,975.0,"Potato, Peas, Spices",Too spicy
2021-01-13,Lassi,,30,,"Yogurt, Sugar, Water",Not good
01-13-2021,Chaat,26.0,30,780.0,"Pani, Sev, Spices",Not good
01-13-2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Not good
13/01/2021,Vadd Pav,12.0,22,264.0,"Potato, Bread, Spices",Average
01-13-2021,Chole Bhture,62.0,55,3410.0,"Chickpeas, Flour, Spices",Very tasty
01-13-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
2021-01-14,Masala Dosa,64.0,40,2560.0,"Rice, Lentils, Spices",Too spicy
01-14-2021,Vada Pav,26.0,25,650.0,"Potato, Bread, Spices",Very tasty
14/01/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",
2021-01-14,PANI PURI,,10,,"Flour, Water, Spices",Too spicy
01-14-2021,Biryani,23.0,120,2760.0,"Rice, Meat, Spices",Very tasty
14/01/2021,Chole Bhature,59.0,50,2950.0,"Chickpeas, Flour, Spices",Not good
14/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
2021-01-14,Samosa,33.0,15,495.0,"Potato, Peas, Spices",Very tasty
01-14-2021,Lassi,,30,,"Yogurt, Sugar, Water",
2021-01-14,Chaat,45.0,30,1350.0,"Pani, Sev, Spices",Very tasty
14/01/2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",
01-14-2021,VADD PAV,,22,,"Potato, Bread, Spices",Too spicy
2021-01-14,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Average
14/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
15/01/2021,Masala Dosa,21.0,40,840.0,"Rice, Lentils, Spices",Average
15/01/2021,Vada Pav,,25,,"Potato, Bread, Spices",
15/01/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
01-15-2021,Pani Puri,33.0,10,330.0,"Flour, Water, Spices",Too spicy
2021-01-15,Biryani,,120,,"Rice, Meat, Spices",Not good
2021-01-15,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
01-15-2021,Pav Bhaji,60.0,45,2700.0,"Potatoes, Vegetables, Bread",Very tasty
2021-01-15,Samosa,,15,,"Potato, Peas, Spices",Too spicy
2021-01-15,Lassi,35.0,30,1050.0,"Yogurt, Sugar, Water",Not good
01-15-2021,Chaat,,30,,"Pani, Sev, Spices",Very tasty
01-15-2021,Maaasala Dosa,44.0,35,1540.0,"Rice, Lentils, Spices",
01-15-2021,Vadd Pav,,22,,"Potato, Bread, Spices",Not good
15/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Too spicy
2021-01-15,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
16/01/2021,Masala Dosa,72.0,40,2880.0,"Rice, Lentils, Spices",Average
2021-01-16,Vada Pav,,25,,"Potato, Bread, Spices",Average
01-16-2021,Sandwich,61.0,20,1220.0,"Bread, Cheese, Vegetables",
16/01/2021,pani puri,8.0,10,80.0,"Flour, Water, Spices",Very tasty
16/01/2021,Biryani,,120,,"Rice, Meat, Spices",Average
16/01/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Average
01-16-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
16/01/2021,Samosa,,15,,"Potato, Peas, Spices",Average
16/01/2021,Lassi,60.0,30,1800.0,"Yogurt, Sugar, Water",
01-16-2021,Chaat,,30,,"Pani, Sev, Spices",Not good
2021-01-16,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Average
16/01/2021,Vadd Pav,,22,,"Potato, Bread, Spices",Too spicy
2021-01-16,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Too spicy
01-16-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
2021-01-17,Masala Dosa,,40,,"Rice, Lentils, Spices",Very tasty
17/01/2021,Vada Pav,90.0,25,2250.0,"Potato, Bread, Spices",Not good
2021-01-17,Sandwich,,20,,"Bread, Cheese, Vegetables",Average
17/01/2021,pani puri,91.0,10,910.0,"Flour, Water, Spices",Very tasty
01-17-2021,Biryani,32.0,120,3840.0,"Rice, Meat, Spices",Too spicy
17/01/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
2021-01-17,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
2021-01-17,Samosa,,15,,"Potato, Peas, Spices",Average
2021-01-17,LASSI,68.0,30,2040.0,"Yogurt, Sugar, Water",Not good
2021-01-17,Chaat,,30,,"Pani, Sev, Spices",
17/01/2021,MAAASALA DOSA,,35,,"Rice, Lentils, Spices",Average
2021-01-17,Vadd Pav,74.0,22,1628.0,"Potato, Bread, Spices",Not good
01-17-2021,CHOLE BHTURE,,55,,"Chickpeas, Flour, Spices",Very tasty
2021-01-17,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
01-18-2021,Masala Dosa,83.0,40,3320.0,"Rice, Lentils, Spices",Too spicy
18/01/2021,Vada Pav,45.0,25,1125.0,"Potato, Bread, Spices",Average
18/01/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Average
18/01/2021,Pani Puri,71.0,10,710.0,"Flour, Water, Spices",Very tasty
2021-01-18,Biryani,58.0,120,6960.0,"Rice, Meat, Spices",
18/01/2021,Chole Bhature,97.0,50,4850.0,"Chickpeas, Flour, Spices",Too spicy
2021-01-18,Pav Bhaji,65.0,45,2925.0,"Potatoes, Vegetables, Bread",
2021-01-18,SAMOSA,27.0,15,405.0,"Potato, Peas, Spices",Average
2021-01-18,Lassi,,30,,"Yogurt, Sugar, Water",Average
18/01/2021,Chaat,25.0,30,750.0,"Pani, Sev, Spices",
01-18-2021,Maaasala Dosa,61.0,35,2135.0,"Rice, Lentils, Spices",Very tasty
01-18-2021,Vadd Pav,76.0,22,1672.0,"Potato, Bread, Spices",
18/01/2021,Chole Bhture,56.0,55,3080.0,"Chickpeas, Flour, Spices",
18/01/2021,Pav Bhaji,87.0,45,3915.0,"Potatoes, Vegetables, Bread",Too spicy
2021-01-19,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
2021-01-19,Vada Pav,22.0,25,550.0,"Potato, Bread, Spices",Very tasty
2021-01-19,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
2021-01-19,Pani Puri,17.0,10,170.0,"Flour, Water, Spices",Very tasty
01-19-2021,Biryani,21.0,120,2520.0,"Rice, Meat, Spices",Very tasty
01-19-2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Average
2021-01-19,Pav Bhaji,85.0,45,3825.0,"Potatoes, Vegetables, Bread",Average
01-19-2021,Samosa,,15,,"Potato, Peas, Spices",Average
2021-01-19,Lassi,,30,,"Yogurt, Sugar, Water",Not good
01-19-2021,chaat,,30,,"Pani, Sev, Spices",
2021-01-19,Maaasala Dosa,77.0,35,2695.0,"Rice, Lentils, Spices",
19/01/2021,vadd pav,97.0,22,2134.0,"Potato, Bread, Spices",Very tasty
01-19-2021,Chole Bhture,83.0,55,4565.0,"Chickpeas, Flour, Spices",Too spicy
01-19-2021,Pav Bhaji,23.0,45,1035.0,"Potatoes, Vegetables, Bread",Very tasty
2021-01-20,Masala Dosa,,40,,"Rice, Lentils, Spices",Not good
20/01/2021,Vada Pav,,25,,"Potato, Bread, Spices",Not good
2021-01-20,Sandwich,5.0,20,100.0,"Bread, Cheese, Vegetables",Average
01-20-2021,Pani Puri,28.0,10,280.0,"Flour, Water, Spices",Very tasty
20/01/2021,Biryani,,120,,"Rice, Meat, Spices",
20/01/2021,Chole Bhature,83.0,50,4150.0,"Chickpeas, Flour, Spices",Average
20/01/2021,Pav Bhaji,18.0,45,810.0,"Potatoes, Vegetables, Bread",Very tasty
20/01/2021,samosa,,15,,"Potato, Peas, Spices",Average
01-20-2021,Lassi,42.0,30,1260.0,"Yogurt, Sugar, Water",Too spicy
01-20-2021,Chaat,67.0,30,2010.0,"Pani, Sev, Spices",Average
20/01/2021,Maaasala Dosa,19.0,35,665.0,"Rice, Lentils, Spices",Too spicy
2021-01-20,Vadd Pav,,22,,"Potato, Bread, Spices",
01-20-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Not good
20/01/2021,pav bhaji,40.0,45,1800.0,"Potatoes, Vegetables, Bread",Average
21/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",
21/01/2021,Vada Pav,28.0,25,700.0,"Potato, Bread, Spices",Very tasty
01-21-2021,Sandwich,20.0,20,400.0,"Bread, Cheese, Vegetables",
2021-01-21,Pani Puri,91.0,10,910.0,"Flour, Water, Spices",
01-21-2021,Biryani,38.0,120,4560.0,"Rice, Meat, Spices",Average
2021-01-21,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
01-21-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
21/01/2021,Samosa,39.0,15,585.0,"Potato, Peas, Spices",
01-21-2021,Lassi,23.0,30,690.0,"Yogurt, Sugar, Water",
01-21-2021,Chaat,,30,,"Pani, Sev, Spices",Not good
21/01/2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Not good
01-21-2021,Vadd Pav,8.0,22,176.0,"Potato, Bread, Spices",Not good
21/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Average
01-21-2021,Pav Bhaji,59.0,45,2655.0,"Potatoes, Vegetables, Bread",
01-22-2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Very tasty
2021-01-22,Vada Pav,72.0,25,1800.0,"Potato, Bread, Spices",
01-22-2021,Sandwich,91.0,20,1820.0,"Bread, Cheese, Vegetables",
22/01/2021,Pani Puri,25.0,10,250.0,"Flour, Water, Spices",Average
22/01/2021,Biryani,89.0,120,10680.0,"Rice, Meat, Spices",Not good
01-22-2021,Chole Bhature,89.0,50,4450.0,"Chickpeas, Flour, Spices",Very tasty
22/01/2021,PAV BHAJI,55.0,45,2475.0,"Potatoes, Vegetables, Bread",Very tasty
22/01/2021,Samosa,,15,,"Potato, Peas, Spices",Too spicy
01-22-2021,Lassi,,30,,"Yogurt, Sugar, Water",
01-22-2021,Chaat,,30,,"Pani, Sev, Spices",
2021-01-22,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Not good
01-22-2021,Vadd Pav,,22,,"Potato, Bread, Spices",
01-22-2021,Chole Bhture,49.0,55,2695.0,"Chickpeas, Flour, Spices",Not good
2021-01-22,Pav Bhaji,18.0,45,810.0,"Potatoes, Vegetables, Bread",Average
23/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",
01-23-2021,VADA PAV,79.0,25,1975.0,"Potato, Bread, Spices",Not good
23/01/2021,Sandwich,73.0,20,1460.0,"Bread, Cheese, Vegetables",Not good
01-23-2021,Pani Puri,25.0,10,250.0,"Flour, Water, Spices",Average
01-23-2021,Biryani,83.0,120,9960.0,"Rice, Meat, Spices",Average
2021-01-23,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Not good
01-23-2021,Pav Bhaji,38.0,45,1710.0,"Potatoes, Vegetables, Bread",Very tasty
01-23-2021,Samosa,,15,,"Potato, Peas, Spices",Average
23/01/2021,Lassi,,30,,"Yogurt, Sugar, Water",Very tasty
2021-01-23,Chaat,,30,,"Pani, Sev, Spices",Not good
01-23-2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",
2021-01-23,Vadd Pav,,22,,"Potato, Bread, Spices",Not good
01-23-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",
2021-01-23,Pav Bhaji,25.0,45,1125.0,"Potatoes, Vegetables, Bread",
24/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",
2021-01-24,Vada Pav,11.0,25,275.0,"Potato, Bread, Spices",Too spicy
01-24-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Not good
01-24-2021,Pani Puri,,10,,"Flour, Water, Spices",Too spicy
2021-01-24,Biryani,,120,,"Rice, Meat, Spices",Very tasty
2021-01-24,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Not good
2021-01-24,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
24/01/2021,SAMOSA,68.0,15,1020.0,"Potato, Peas, Spices",Average
24/01/2021,Lassi,46.0,30,1380.0,"Yogurt, Sugar, Water",Average
2021-01-24,Chaat,91.0,30,2730.0,"Pani, Sev, Spices",Average
2021-01-24,Maaasala Dosa,44.0,35,1540.0,"Rice, Lentils, Spices",Average
01-24-2021,Vadd Pav,38.0,22,836.0,"Potato, Bread, Spices",Not good
2021-01-24,Chole Bhture,,55,,"Chickpeas, Flour, Spices",
2021-01-24,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
25/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
01-25-2021,Vada Pav,73.0,25,1825.0,"Potato, Bread, Spices",Too spicy
2021-01-25,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
01-25-2021,Pani Puri,,10,,"Flour, Water, Spices",Very tasty
2021-01-25,Biryani,,120,,"Rice, Meat, Spices",Too spicy
25/01/2021,Chole Bhature,36.0,50,1800.0,"Chickpeas, Flour, Spices",Average
25/01/2021,pav bhaji,,45,,"Potatoes, Vegetables, Bread",Average
25/01/2021,Samosa,46.0,15,690.0,"Potato, Peas, Spices",
2021-01-25,Lassi,8.0,30,240.0,"Yogurt, Sugar, Water",Very tasty
25/01/2021,Chaat,43.0,30,1290.0,"Pani, Sev, Spices",Average
2021-01-25,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
2021-01-25,Vadd Pav,22.0,22,484.0,"Potato, Bread, Spices",Not good
25/01/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Average
01-25-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
2021-01-26,MASALA DOSA,,40,,"Rice, Lentils, Spices",Very tasty
26/01/2021,Vada Pav,48.0,25,1200.0,"Potato, Bread, Spices",Average
